epoch,step,train_loss_epoch,train_loss_step,val_loss
0,5,,,1.2584179639816284
0,5,1.4158337116241455,,
1,11,,,1.3799406290054321
1,11,0.9089463949203491,,
2,17,,,1.1920640468597412
2,17,0.8389282822608948,,
3,23,,,1.121732473373413
3,23,0.7608734369277954,,
4,29,,,1.1083078384399414
4,29,0.7720128297805786,,
5,35,,,1.1113733053207397
5,35,0.7318931818008423,,
6,41,,,1.083852767944336
6,41,0.7260398268699646,,
7,47,,,1.0783716440200806
7,47,0.722211480140686,,
8,49,,0.9937806725502014,
8,53,,,1.088738203048706
8,53,0.7122421860694885,,
9,59,,,1.1214210987091064
9,59,0.7109967470169067,,
10,65,,,1.1064666509628296
10,65,0.7000470757484436,,
11,71,,,1.1122807264328003
11,71,0.6976863145828247,,
12,77,,,1.116600751876831
12,77,0.6936197876930237,,
13,83,,,1.1155717372894287
13,83,0.6851251125335693,,
14,89,,,1.1177775859832764
14,89,0.6725894212722778,,
15,95,,,1.1225717067718506
15,95,0.6773636937141418,,
16,99,,0.5586198568344116,
16,101,,,1.1495764255523682
16,101,0.6716018319129944,,
17,107,,,1.148285984992981
17,107,0.6479701399803162,,
18,113,,,1.1588622331619263
18,113,0.6449397802352905,,
