epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,2.4226911067962646,
0,99,,1.7219069004058838,
0,149,,1.8543987274169922,
0,158,,,1.675127387046814
0,158,1.805159330368042,,
1,199,,1.4190250635147095,
1,249,,1.2788423299789429,
1,299,,1.6675890684127808,
1,317,,,1.5589503049850464
1,317,1.6198636293411255,,
2,349,,1.2992597818374634,
2,399,,1.3533324003219604,
2,449,,1.165930986404419,
2,476,,,1.2755340337753296
2,476,1.4075078964233398,,
3,499,,1.0812439918518066,
3,549,,1.2922749519348145,
3,599,,1.2641327381134033,
3,635,,,1.138481855392456
3,635,1.1877669095993042,,
4,649,,1.560563087463379,
4,699,,1.1730129718780518,
4,749,,0.7822662591934204,
4,794,,,1.1655248403549194
4,794,1.0836308002471924,,
5,799,,1.19553804397583,
5,849,,0.9221879243850708,
5,899,,0.9983239769935608,
5,949,,1.5575764179229736,
5,953,,,1.1103253364562988
5,953,0.9713899493217468,,
6,999,,0.852495551109314,
6,1049,,0.877312421798706,
6,1099,,0.7755146026611328,
6,1112,,,1.0212756395339966
6,1112,0.9151558876037598,,
7,1149,,0.7462427020072937,
7,1199,,0.4823112487792969,
7,1249,,0.8008202910423279,
7,1271,,,0.9013807773590088
7,1271,0.8416301012039185,,
8,1299,,0.7516806721687317,
8,1349,,0.8303220868110657,
8,1399,,0.8430330753326416,
8,1430,,,0.7833612561225891
8,1430,0.7606321573257446,,
9,1449,,1.1469216346740723,
9,1499,,0.4818556010723114,
9,1549,,0.5930261611938477,
9,1589,,,0.8575275540351868
9,1589,0.7495487332344055,,
10,1599,,0.6323062181472778,
10,1649,,0.4431000351905823,
10,1699,,0.4977880120277405,
10,1748,,,0.780171811580658
10,1748,0.6966688632965088,,
11,1749,,0.9183691740036011,
11,1799,,0.2404600828886032,
11,1849,,0.6288901567459106,
11,1899,,0.29726219177246094,
11,1907,,,0.7339514493942261
11,1907,0.6385148763656616,,
12,1949,,0.9897065162658691,
12,1999,,0.48133906722068787,
12,2049,,0.5955276489257812,
12,2066,,,0.6799089312553406
12,2066,0.6088406443595886,,
13,2099,,0.6486271619796753,
13,2149,,0.6813551187515259,
13,2199,,0.3950478434562683,
13,2225,,,0.6326643228530884
13,2225,0.5550172924995422,,
14,2249,,0.48603931069374084,
14,2299,,0.8493533134460449,
14,2349,,0.2715476155281067,
14,2384,,,0.5934504270553589
14,2384,0.5402238368988037,,
15,2399,,0.8247808814048767,
15,2449,,0.5950882434844971,
15,2499,,0.501320481300354,
15,2543,,,0.5964264273643494
15,2543,0.51356041431427,,
16,2549,,0.3506287932395935,
16,2599,,0.4890051484107971,
16,2649,,0.4687097668647766,
16,2699,,0.40390950441360474,
16,2702,,,0.5950572490692139
16,2702,0.485704243183136,,
17,2749,,0.8060451745986938,
17,2799,,0.3845263719558716,
17,2849,,0.414583295583725,
17,2861,,,0.5827877521514893
17,2861,0.45349955558776855,,
18,2899,,0.8020541667938232,
18,2949,,0.44477614760398865,
18,2999,,0.22843492031097412,
18,3020,,,0.5944522023200989
18,3020,0.436309278011322,,
19,3049,,0.43585383892059326,
19,3099,,0.38433074951171875,
19,3149,,0.32326385378837585,
19,3179,,,0.5851598978042603
19,3179,0.4106367528438568,,
