epoch,step,train_loss_epoch,val_loss
0,0,,1.5561659336090088
0,0,1.8279751539230347,
1,1,,1.5259521007537842
1,1,1.7137871980667114,
2,2,,1.5248048305511475
2,2,1.6307110786437988,
3,3,,1.5428211688995361
3,3,1.6239339113235474,
4,4,,1.5706132650375366
4,4,1.582777738571167,
5,5,,1.6024658679962158
5,5,1.6095035076141357,
6,6,,1.6331321001052856
6,6,1.6072173118591309,
7,7,,1.6595062017440796
7,7,1.5823861360549927,
8,8,,1.6791671514511108
8,8,1.5908011198043823,
9,9,,1.6948944330215454
9,9,1.587897777557373,
10,10,,1.7060433626174927
10,10,1.5010251998901367,
11,11,,1.7147653102874756
11,11,1.5832276344299316,
12,12,,1.720260500907898
12,12,1.5492560863494873,
13,13,,1.7255927324295044
13,13,1.5228811502456665,
14,14,,1.7297608852386475
14,14,1.5039862394332886,
15,15,,1.7320951223373413
15,15,1.5411969423294067,
16,16,,1.7332199811935425
16,16,1.5073376893997192,
17,17,,1.731626272201538
17,17,1.4999902248382568,
18,18,,1.727315902709961
18,18,1.5412052869796753,
19,19,,1.7217881679534912
19,19,1.4622875452041626,
