epoch,step,train_loss_epoch,val_loss
0,0,,1.6686437129974365
0,0,1.6919571161270142,
1,1,,1.6739784479141235
1,1,1.5947003364562988,
2,2,,1.6887718439102173
2,2,1.5935217142105103,
3,3,,1.7112244367599487
3,3,1.5463272333145142,
4,4,,1.73965585231781
4,4,1.5370373725891113,
5,5,,1.7699792385101318
5,5,1.4668792486190796,
6,6,,1.7968355417251587
6,6,1.6010797023773193,
7,7,,1.818623661994934
7,7,1.5274074077606201,
8,8,,1.8351491689682007
8,8,1.5342450141906738,
9,9,,1.8461072444915771
9,9,1.5231826305389404,
10,10,,1.8521183729171753
10,10,1.5350972414016724,
11,11,,1.8565582036972046
11,11,1.5061886310577393,
12,12,,1.8575718402862549
12,12,1.5395725965499878,
13,13,,1.8565540313720703
13,13,1.528501272201538,
14,14,,1.85411536693573
14,14,1.5130677223205566,
15,15,,1.8505487442016602
15,15,1.4727462530136108,
16,16,,1.845102310180664
16,16,1.5357917547225952,
17,17,,1.8392517566680908
17,17,1.44635009765625,
18,18,,1.8329877853393555
18,18,1.479569435119629,
19,19,,1.8266805410385132
19,19,1.3890005350112915,
