epoch,step,train_loss_epoch,train_loss_step,val_loss
0,5,,,0.7196620106697083
0,5,1.2647029161453247,,
1,11,,,0.7313477396965027
1,11,1.0271217823028564,,
2,17,,,0.6973464488983154
2,17,0.9048783183097839,,
3,23,,,0.6866206526756287
3,23,0.8656083941459656,,
4,29,,,0.6140186190605164
4,29,0.8075714111328125,,
5,35,,,0.5962254405021667
5,35,0.8178536891937256,,
6,41,,,0.6080554723739624
6,41,0.7829164266586304,,
7,47,,,0.6059941649436951
7,47,0.7930488586425781,,
8,49,,0.5017171502113342,
8,53,,,0.6053906679153442
8,53,0.7737976908683777,,
9,59,,,0.5978935956954956
9,59,0.7874121069908142,,
10,65,,,0.6263083219528198
10,65,0.7710745334625244,,
11,71,,,0.6035405993461609
11,71,0.7776300311088562,,
12,77,,,0.6045308113098145
12,77,0.757210373878479,,
13,83,,,0.6137288808822632
13,83,0.771950364112854,,
14,89,,,0.5843667984008789
14,89,0.7437529563903809,,
15,95,,,0.5868395566940308
15,95,0.7405664920806885,,
16,99,,0.36851802468299866,
16,101,,,0.6132571697235107
16,101,0.7426539659500122,,
17,107,,,0.606988251209259
17,107,0.7345635294914246,,
18,113,,,0.6386715173721313
18,113,0.7056846618652344,,
19,119,,,0.6223963499069214
19,119,0.692529559135437,,
