epoch,step,train_loss_epoch,train_loss_step,val_loss
0,4,,,1.0966211557388306
0,4,1.5973352193832397,,
1,9,,,1.3919681310653687
1,9,0.8542760014533997,,
2,14,,,1.3525474071502686
2,14,0.917797863483429,,
3,19,,,1.1538009643554688
3,19,0.8178200721740723,,
4,24,,,1.0579171180725098
4,24,0.7327859997749329,,
5,29,,,1.0167434215545654
5,29,0.7642032504081726,,
6,34,,,1.0360150337219238
6,34,0.7017170190811157,,
7,39,,,1.0554243326187134
7,39,0.719721257686615,,
8,44,,,1.0234198570251465
8,44,0.7132987976074219,,
9,49,,0.9926421642303467,
9,49,,,1.0020924806594849
9,49,0.6937482357025146,,
10,54,,,1.0012030601501465
10,54,0.6996239423751831,,
11,59,,,1.0476335287094116
11,59,0.7012683749198914,,
12,64,,,1.0585482120513916
12,64,0.6847723126411438,,
13,69,,,1.030714511871338
13,69,0.6801227331161499,,
14,74,,,1.0180449485778809
14,74,0.6663225889205933,,
15,79,,,1.0407845973968506
15,79,0.6695601940155029,,
16,84,,,1.0375462770462036
16,84,0.6528621315956116,,
17,89,,,1.038022518157959
17,89,0.6515918970108032,,
18,94,,,1.0404728651046753
18,94,0.6529064178466797,,
19,99,,0.7027580738067627,
19,99,,,1.0713000297546387
19,99,0.6380627155303955,,
