epoch,step,train_loss_epoch,train_loss_step,val_loss
0,5,,,0.6163779497146606
0,5,1.8769571781158447,,
1,11,,,0.6658775210380554
1,11,0.9133977890014648,,
2,17,,,0.5645415186882019
2,17,0.9230782389640808,,
3,23,,,0.5857343673706055
3,23,0.7861437797546387,,
4,29,,,0.56411212682724
4,29,0.7645106911659241,,
5,35,,,0.5405146479606628
5,35,0.711195707321167,,
6,41,,,0.5325602293014526
6,41,0.6906879544258118,,
7,47,,,0.5342060327529907
7,47,0.655301034450531,,
8,49,,0.3432674705982208,
8,53,,,0.504845142364502
8,53,0.6382685899734497,,
9,59,,,0.506933331489563
9,59,0.6145955324172974,,
10,65,,,0.4959866404533386
10,65,0.6099672913551331,,
11,71,,,0.47945961356163025
11,71,0.5906311869621277,,
12,77,,,0.48271608352661133
12,77,0.5890948176383972,,
13,83,,,0.46276769042015076
13,83,0.5791255831718445,,
14,89,,,0.45622462034225464
14,89,0.5790615677833557,,
15,95,,,0.4395480155944824
15,95,0.5662169456481934,,
16,99,,0.41630810499191284,
16,101,,,0.45158910751342773
16,101,0.5656337738037109,,
17,107,,,0.4519140124320984
17,107,0.5474706292152405,,
18,113,,,0.45347127318382263
18,113,0.532072901725769,,
19,119,,,0.46096333861351013
19,119,0.5460700988769531,,
